
020;广东省广州市
021;上海市
022;天津市
010;北京市
023;重庆市重庆
023;重庆市万州
023;重庆市涪陵
023;重庆市黔江
024;辽宁省沈阳市
025;江苏省南京市
027;湖北省武汉市
028;四川省成都市
029;陕西省西安市
0310;河北省邯郸市
0311;河北省石家庄市
0312;河北省保定市
0313;河北省张家口
0314;河北省承德市
0315;河北省唐山市
0316;河北省廊坊市
0317;河北省沧州市
0318;河北省衡水市
0319;河北省邢台市
0335;河北省秦皇岛
0349;山西省朔州市
0350;山西省忻州市
0351;山西省太原市
0352;山西省大同市
0353;山西省阳泉市
0354;山西省晋中市
0355;山西省长治市
0356;山西省晋城市
0357;山西省临汾市
0358;山西省吕梁市
0359;山西省运城市
0370;河南省商丘市
0371;河南省郑州市
0372;河南省安阳市
0373;河南省新乡市
0374;河南省许昌市
0375;河南省平顶山
0376;河南省信阳市
0377;河南省南阳市
0378;河南省开封市
0379;河南省洛阳市
0391;河南省焦作市
0392;河南省鹤壁市
0393;河南省濮阳市
0394;河南省周口市
0395;河南省漯河市
0396;河南省驻马店
0397;河南省潢川市
0398;河南省三门峡
0410;辽宁省铁岭市
0411;辽宁省大连市
0412;辽宁省鞍山市
0413;辽宁省抚顺市
0414;辽宁省本溪市
0415;辽宁省丹东市
0416;辽宁省锦州市
0417;辽宁省营口市
0418;辽宁省阜新市
0419;辽宁省辽阳市
0421;辽宁省朝阳市
0427;辽宁省盘锦市
0429;辽宁省葫芦岛
0431;吉林省长春市
0432;吉林省吉林
0433;吉林省延吉市
0433;吉林省珲春市
0434;吉林省四平市
0435;吉林省通化市
0435;吉林省梅河口
0436;吉林省白城市
0437;吉林省辽源市
0438;吉林省松原市
0439;吉林省白山市
0451;黑龙江省哈尔滨市
0452;黑龙江省齐齐哈尔
0453;黑龙江省牡丹江
0454;黑龙江省佳木斯
0455;黑龙江省绥化市
0456;黑龙江省黑河市
0457;黑龙江省大兴安岭
0458;黑龙江省伊春市
0459;黑龙江省大庆市
0464;黑龙江省七台河
0467;黑龙江省鸡西市
0468;黑龙江省鹤岗市
0469;黑龙江省双鸭山
0470;内蒙古呼伦贝尔
0470;内蒙古海拉尔
0471;内蒙古呼和浩特
0472;内蒙古包头市
0473;内蒙古乌海市
0474;内蒙古乌兰查布
0474;内蒙古集宁市
0475;内蒙古通辽市
0476;内蒙古赤峰市
0477;内蒙古鄂尔多斯
0478;内蒙古巴彦淖尔
0478;内蒙古临河市
0479;内蒙古锡林浩特
0482;内蒙古乌兰浩特
0482;内蒙古兴安盟
0483;内蒙古巴彦浩特
0483;内蒙古阿盟
0510;江苏省无锡市
0511;江苏省镇江市
0512;江苏省苏州市
0513;江苏省南通市
0514;江苏省扬州市
0515;江苏省盐城市
0516;江苏省徐州市
0517;江苏省淮安市
0518;江苏省连云港
0519;江苏省常州市
0523;江苏省泰州市
0527;江苏省宿迁市
0530;山东省菏泽市
0531;山东省济南市
0532;山东省青岛市
0533;山东省淄博市
0534;山东省德州市
0535;山东省烟台市
0536;山东省潍坊市
0537;山东省济宁市
0538;山东省泰安市
0539;山东省临沂市
0543;山东省滨州市
0546;山东省东营市
